Science Activity Number;Science Activity Closed;Device Operation Number;Device Operation;Device Operation Closed;Device Operation Label;Device Shortname;Underway;Event Time;Event Comment;Action;Latitude;Longitude;Depth (m);Speed (kn);Course;Wind Dir;Wind Velocity;Winch;Rope Length (m)
288;t;1;M203_288-1;t;BLN;BLN;f;06.09.24 10:50;released;information;07∞ 56,387' N;038∞ 00,616' W;4214;0;75;179.0;6.9;03;0
289;t;1;M203_289-1;t;GLIDER;GLIDER;f;06.09.24 10:54;Schlauchboot zu Wasser;in the water;07∞ 56,386' N;038∞ 00,615' W;4215;0;2;177.0;7.5;03;0
289;t;1;M203_289-1;t;GLIDER;GLIDER;f;06.09.24 11:03;ifm50 zu Wasser;in the water;07∞ 56,388' N;038∞ 00,615' W;4215;0;114;173.0;5.1;03;0
289;t;1;M203_289-1;t;GLIDER;GLIDER;f;06.09.24 11:08;Schlauchboot an Deck;on deck;07∞ 56,389' N;038∞ 00,616' W;4215;0;158;183.0;6.6;03;0
290;t;1;M203_290-1;t;GLIDER;GLIDER;f;06.09.24 11:25;Schlauchboot zu Wasser;in the water;07∞ 56,389' N;038∞ 00,612' W;4217;0;261;164.0;6.1;03;0
290;t;1;M203_290-1;t;GLIDER;GLIDER;f;06.09.24 11:33;ifm14 zu Wasser;in the water;07∞ 56,390' N;038∞ 00,609' W;4215;0;243;177.0;4.9;03;0
290;t;1;M203_290-1;t;GLIDER;GLIDER;f;06.09.24 11:36;Schlauchboot an Deck;on deck;07∞ 56,391' N;038∞ 00,609' W;4218;0;114;179.0;5.6;03;0
291;t;1;M203_291-1;t;DRIFT;DRIFT;f;06.09.24 12:17;Ankerstein zu Wasser;in the water;07∞ 56,624' N;038∞ 00,384' W;4233;0;184;175.0;8.1;04;0
291;t;1;M203_291-1;t;DRIFT;DRIFT;f;06.09.24 12:36;Kopfboje zu Wasser;in the water;07∞ 56,457' N;038∞ 00,325' W;4202;1;140;186.0;8.0;04;0
292;t;1;M203_292-1;t;BLN;BLN;f;06.09.24 12:40;released;information;07∞ 56,424' N;038∞ 00,313' W;4142;0;140;188.0;6.0;04;0
293;t;1;M203_293-1;t;BLN;BLN;f;06.09.24 13:50;released;information;08∞ 00,557' N;037∞ 59,728' W;4064;10;44;174.0;8.0;10;5
295;t;1;M203_295-1;t;BLN;BLN;f;06.09.24 16:50;released;information;08∞ 29,997' N;038∞ 00,028' W;3675;0;9;198.0;7.5;10;5
294;t;1;M203_294-1;t;GLIDER;GLIDER;f;06.09.24 17:03;Schlauchoot zu Wasser;information;08∞ 29,982' N;038∞ 00,016' W;3643;0;74;204.0;7.1;10;5
294;t;1;M203_294-1;t;GLIDER;GLIDER;f;06.09.24 17:12;ifm09 zu Wasser;in the water;08∞ 29,983' N;038∞ 00,016' W;3650;0;276;200.0;6.3;10;5
294;t;1;M203_294-1;t;GLIDER;GLIDER;f;06.09.24 17:20;Schlauchboot an Deck;on deck;08∞ 29,981' N;038∞ 00,015' W;3697;0;196;203.0;5.7;10;5
296;t;1;M203_296-1;t;DRIFT;DRIFT;f;06.09.24 17:50;Ankerstein zu Wasser, Wirewalker zu Wasser;in the water;08∞ 29,896' N;038∞ 00,016' W;3642;1;130;212.0;5.0;04;0
296;t;1;M203_296-1;t;DRIFT;DRIFT;f;06.09.24 18:27;Kopfboje zu Wasser;in the water;08∞ 29,750' N;037∞ 59,889' W;3708;0;146;217.0;5.7;04;0
297;t;1;M203_297-1;t;MSS;MSS;f;06.09.24 18:46;;in the water;08∞ 29,647' N;037∞ 59,919' W;3715;1;213;233.0;5.9;10;0
297;t;1;M203_297-1;t;MSS;MSS;f;06.09.24 19:24;;on deck;08∞ 28,957' N;038∞ 00,234' W;3611;1;203;215.0;5.6;10;0
298;t;1;M203_298-1;t;CTD;CTD;f;06.09.24 19:34;W3, clean ship;in the water;08∞ 28,933' N;038∞ 00,251' W;3610;1;10;226.0;4.8;03;0
298;t;1;M203_298-1;t;CTD;CTD;f;06.09.24 20:13;SLmax = 2028m;max depth/on ground;08∞ 28,930' N;038∞ 00,250' W;3610;0;274;232.0;4.2;03;2028
298;t;1;M203_298-1;t;CTD;CTD;f;06.09.24 20:49;;on deck;08∞ 28,976' N;038∞ 00,203' W;3619;0;142;206.0;4.4;03;0
299;t;1;M203_299-1;t;BLN;BLN;f;06.09.24 19:50;released;information;08∞ 28,926' N;038∞ 00,250' W;3607;0;276;229.0;4.8;03;668
300;t;1;M203_300-1;t;BLN;BLN;f;06.09.24 22:46;released;information;08∞ 44,025' N;037∞ 58,970' W;4151;10;6;194.0;5.4;03;0
301;t;1;M203_301-1;t;BLN;BLN;f;07.09.24 01:50;released;information;09∞ 14,981' N;037∞ 56,373' W;4310;10;6;190.0;2.9;03;0
